Dataset,Model,Variant,Fraction,MSE,MAE,Train_Params,Total_Params,Train_Time,Inf_Time
ETTh1,Model C+ (Enhanced),no_periodicity,0.1,0.4066777527332306,0.4939083158969879,52064720,133977296,92.80894732475281,11.621652126312256
ETTh1,Model C+ (Enhanced),no_trend_stability,0.1,0.398977667093277,0.48490747809410095,52064720,133977296,91.37594795227051,11.788568258285522
ETTh1,Model C+ (Enhanced),basic_only,0.1,0.4026951193809509,0.4869089424610138,52064720,133977296,92.02176403999329,11.585968732833862
ETTh2,Model C+ (Enhanced),no_periodicity,0.1,0.4158886671066284,0.4538399577140808,52064720,133977296,90.67120003700256,11.396698951721191
ETTh2,Model C+ (Enhanced),no_trend_stability,0.1,0.41573694348335266,0.4540155827999115,52064720,133977296,88.63525295257568,11.679301977157593
ETTh2,Model C+ (Enhanced),basic_only,0.1,0.41427507996559143,0.4525749385356903,52064720,133977296,89.16232991218567,11.250812768936157
weather,Model C+ (Enhanced),no_periodicity,0.1,0.382669597864151,0.41837528347969055,55694864,137607440,774.1462008953094,102.97122097015381
weather,Model C+ (Enhanced),no_trend_stability,0.1,0.3967265188694,0.4273145794868469,55694864,137607440,803.7098269462585,106.17371916770935
weather,Model C+ (Enhanced),basic_only,0.1,0.37968185544013977,0.4201485514640808,55694864,137607440,786.9390308856964,104.0481185913086
