Model,Train_Params,Total_Params,Train_Time,Inf_Time
Autoformer/FEDformer,44103,44103,155.70026576519012,33.66699786980947
DLinear,18624,18624,1.548769474029541,0.24089038372039795
Model C (Original),51604400,133516976,1821.4622380336125,233.2239737113317
Model C+ (Enhanced),52064720,133977296,944.3139555295309,124.87372899055481
PatchTST,62944,62944,213.9764556090037,17.598737001419067
